codigo_ine,nombre,provincia,ccaa,poblacion,superficie_km2,lat_centro,lon_centro,n_alojamientos_osm,n_vut_oficial,plazas_vut,n_vut_con_plazas,pct_vut_con_plazas,n_vut_geolocalizadas,pct_vut_geolocalizadas,plazas_hoteleras,n_establecimientos_hoteleros,origen_hotelero,n_restauracion,n_atracciones,n_camping,n_transporte,origen_osm,origen_vut,cobertura_vut,saturacion_plazas_1000hab,densidad_plazas_km2,plazas_totales,saturacion_total_1000hab,pct_plazas_hoteleras,n_servicios,densidad_servicios_km2,servicios_1000hab,dist_transporte_km,atracciones_1000hab,indice_demanda,indice_saturacion,indice_oportunidad,indice_riesgo
03044,Bigastro,Alicante,Comunitat Valenciana,7537,4.0732,38.06022896299155,-0.8955040399955441,0,6.0,40.0,6.0,100.0,6.0,100.0,,,eoh_provincia,14,0,0,0,join_espacial,municipal_directo,registro,5.31,9.82,,,,14,3.437,1.86,4.72,0.0,52.4,44.6,7.8,47.3
03045,Bolulla,Alicante,Comunitat Valenciana,490,13.6623,38.68473993552192,-0.1212049276816292,1,9.0,65.0,9.0,100.0,9.0,100.0,,,eoh_provincia,1,0,0,0,join_espacial,municipal_directo,registro,132.65,4.758,,,,1,0.073,2.04,5.55,0.0,43.2,77.9,-34.7,65.8
03046,Busot,Alicante,Comunitat Valenciana,3782,33.8424,38.50093368834921,-0.4184915719917171,1,97.0,639.0,97.0,100.0,0.0,0.0,,,eoh_provincia,10,8,0,0,join_espacial,municipal_directo,registro,168.96,18.882,,,,18,0.532,4.76,8.31,2.12,67.1,85.9,-18.8,79.3
03047,Calp,Alicante,Comunitat Valenciana,27616,23.5039,38.65274282509268,0.0443257155349819,32,5522.0,24754.0,5522.0,100.0,435.0,7.9,,,eoh_provincia,230,32,10,3,join_espacial,municipal_directo,registro,896.36,1053.187,,,,262,11.147,9.49,0.66,1.16,81.0,99.5,-18.5,93.0
03048,Callosa d'en Sarrià,Alicante,Comunitat Valenciana,8182,34.658,38.65329568965552,-0.1042604016315984,0,26.0,195.0,26.0,100.0,27.0,103.8,,,eoh_provincia,14,7,1,0,join_espacial,municipal_directo,registro,23.83,5.626,,,,21,0.606,2.57,7.14,0.86,60.4,57.8,2.6,58.7
03049,Callosa de Segura,Alicante,Comunitat Valenciana,19988,24.8602,38.13409449746597,-0.8711018040379991,0,2.0,6.0,2.0,100.0,2.0,100.0,,,eoh_provincia,11,5,0,2,join_espacial,municipal_directo,registro,0.3,0.241,,,,16,0.644,0.8,0.49,0.25,57.7,12.9,44.8,28.6
03050,"Campello, el",Alicante,Comunitat Valenciana,31419,55.2177,38.4624311488021,-0.3726531167979425,12,1855.0,9366.0,1855.0,100.0,1843.0,99.4,,,eoh_provincia,67,4,12,0,join_espacial,municipal_directo,registro,298.1,169.62,,,,71,1.286,2.26,9.21,0.13,55.4,95.1,-39.7,81.2
03051,"Camp de Mirra, el/Campo de Mirra",Alicante,Comunitat Valenciana,447,21.4707,38.70428593647601,-0.802031559295548,0,0.0,0.0,0.0,,0.0,,,,eoh_provincia,0,0,0,0,join_espacial,municipal_directo,registro,0.0,0.0,,,,0,0.0,0.0,4.24,0.0,24.6,4.1,20.5,11.3
03052,Cañada,Alicante,Comunitat Valenciana,1213,19.6725,38.68521255734534,-0.8213374565400166,0,2.0,13.0,2.0,100.0,2.0,100.0,,,eoh_provincia,2,0,0,0,join_espacial,municipal_directo,registro,10.72,0.661,,,,2,0.102,1.65,5.29,0.0,43.5,34.3,9.2,37.5
03053,Castalla,Alicante,Comunitat Valenciana,11908,114.5427,38.567941211801845,-0.6706234811157771,2,20.0,105.0,20.0,100.0,20.0,100.0,,,eoh_provincia,9,5,2,0,join_espacial,municipal_directo,registro,8.82,0.917,,,,14,0.122,1.18,12.75,0.42,44.7,34.9,9.8,38.3
03054,Castell de Castells,Alicante,Comunitat Valenciana,443,45.953,38.73502578125474,-0.1870673022157263,2,4.0,22.0,4.0,100.0,4.0,100.0,,,eoh_provincia,3,2,1,1,join_espacial,municipal_directo,registro,49.66,0.479,,,,5,0.109,11.29,3.68,4.51,75.5,50.9,24.6,59.5
03055,Catral,Alicante,Comunitat Valenciana,9600,19.9017,38.15215891129332,-0.7975786682826917,0,4.0,22.0,4.0,100.0,4.0,100.0,,,eoh_provincia,30,2,0,0,join_espacial,municipal_directo,registro,2.29,1.105,,,,32,1.608,3.33,3.94,0.21,64.0,27.6,36.4,40.3
03056,Cocentaina,Alicante,Comunitat Valenciana,11498,52.7615,38.73738021056856,-0.4470041073731839,2,8.0,50.0,8.0,100.0,8.0,100.0,,,eoh_provincia,10,4,2,1,join_espacial,municipal_directo,registro,4.35,0.948,,,,14,0.265,1.22,0.38,0.35,57.9,29.9,28.0,39.7
03057,Confrides,Alicante,Comunitat Valenciana,293,40.0601,38.67922199773408,-0.2765938254042757,0,2.0,20.0,2.0,100.0,2.0,100.0,,,eoh_provincia,4,2,0,0,join_espacial,municipal_directo,registro,68.26,0.499,,,,6,0.15,20.48,12.53,6.83,74.6,55.2,19.4,62.0
